Plant ID,Tip (px)
030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask_plant_1.png,"(548, 392)"
030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask_plant_2.png,"(533, 904)"
030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask_plant_3.png,"(549, 1411)"
030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask_plant_4.png,"(0, 0)"
030_43-2-ROOT1-2023-08-08_pvdCherry_OD001_Col0_05-Fish Eye Corrected_root_mask_plant_5.png,"(510, 2455)"
031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask_plant_1.png,"(598, 383)"
031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask_plant_2.png,"(682, 919)"
031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask_plant_3.png,"(656, 1414)"
031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask_plant_4.png,"(647, 1943)"
031_43-6-ROOT1-2023-08-08_control_pH7_-Fe+B_f6h1_02-Fish Eye Corrected_root_mask_plant_5.png,"(647, 2448)"
033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask_plant_1.png,"(932, 375)"
033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask_plant_2.png,"(765, 856)"
033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask_plant_3.png,"(929, 1464)"
033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask_plant_4.png,"(746, 1974)"
033_43-13-ROOT1-2023-08-08_pvd_OD01_Col0_02-Fish Eye Corrected_root_mask_plant_5.png,"(882, 2495)"
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask_plant_1.png,"(1417, 488)"
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask_plant_2.png,"(1170, 932)"
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask_plant_3.png,"(1163, 1438)"
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask_plant_4.png,"(1137, 1914)"
033_43-14-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_03-Fish Eye Corrected_root_mask_plant_5.png,"(1189, 2475)"
034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask_plant_1.png,"(1226, 406)"
034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask_plant_2.png,"(1098, 1042)"
034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask_plant_3.png,"(1175, 1469)"
034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask_plant_4.png,"(996, 1953)"
034_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_02-Fish Eye Corrected_root_mask_plant_5.png,"(1022, 2507)"
035_43-17-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_1.png,"(1436, 338)"
035_43-17-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_2.png,"(1212, 989)"
035_43-17-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_3.png,"(1428, 1463)"
035_43-17-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_4.png,"(1377, 2011)"
035_43-17-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_5.png,"(1326, 2559)"
035_43-19-ROOT1-2023-08-08_pvd_OD01_f6h1_05-Fish Eye Corrected_root_mask_plant_1.png,"(678, 382)"
035_43-19-ROOT1-2023-08-08_pvd_OD01_f6h1_05-Fish Eye Corrected_root_mask_plant_2.png,"(1061, 908)"
035_43-19-ROOT1-2023-08-08_pvd_OD01_f6h1_05-Fish Eye Corrected_root_mask_plant_3.png,"(1430, 1476)"
035_43-19-ROOT1-2023-08-08_pvd_OD01_f6h1_05-Fish Eye Corrected_root_mask_plant_4.png,"(1501, 1900)"
035_43-19-ROOT1-2023-08-08_pvd_OD01_f6h1_05-Fish Eye Corrected_root_mask_plant_5.png,"(1309, 2432)"
037_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_1.png,"(1474, 330)"
037_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_2.png,"(1197, 961)"
037_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_3.png,"(1480, 1473)"
037_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_4.png,"(1420, 2000)"
037_43-18-ROOT1-2023-08-08_mock_pH5_+Fe_Col0_04-Fish Eye Corrected_root_mask_plant_5.png,"(1383, 2565)"
038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected_root_mask_plant_1.png,"(981, 374)"
038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected_root_mask_plant_2.png,"(1041, 908)"
038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected_root_mask_plant_3.png,"(981, 1414)"
038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected_root_mask_plant_4.png,"(1072, 2034)"
038_43-13-ROOT1-2023-08-08_control_pH7_-Fe+B_col0_04-Fish Eye Corrected_root_mask_plant_5.png,"(1112, 2438)"
038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask_plant_1.png,"(1790, 628)"
038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask_plant_2.png,"(1864, 861)"
038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask_plant_3.png,"(1794, 1482)"
038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask_plant_4.png,"(1567, 1910)"
038_43-14-ROOT1-2023-08-08_pvdCherry_OD001_f6h1_04-Fish Eye Corrected_root_mask_plant_5.png,"(1637, 2699)"
